frequency
32
1
2
2
1
3
7
1
1
2
1
14
12
9
3
9
4
3
2
19
4
53
3
14
35
33
11
41
30
15
10
12
15
30
31
31
22
41
38
16
57
31
15
2
7
4
2
4
4
3
2
1
1
3
6
7
5
17
1
6
8
13
24
11
36
30
31
26
32
2
1
5
2
1
6
25
21
8
32
17
31
31
33
26
45
22
31
35
9
14
32
33
32
32
41
5
5
17
12
8
7
4
1
12
45
3
21
1
3
1
1
1
1
5
4
1
7
2
46
11
31
30
31
34
23
36
32
22
22
32
33
31
29
32
31
30
31
33
29
32
15
30
67
1
1
1
1
1
44
41
37
34
38
54
39
60
38
20
53
30
31
33
32
32
45
22
31
55
32
30
23
44
23
66
29
32
66
31
5
3
31
31
65
53
1
48
34
32
32
4
31
33
32
32
31
31
31
36
55
26
55
47
31
27
31
30
31
29
30
33
56
16
24
25
30
31
3
38
31
39
31
34
8
19
9
32
30
31
33
32
31
1
48
22
31
30
30
47
3
14
10
2
13
47
30
31
61
30
30
38
32
32
18
60
57
31
29
39
26
24
60
48
34
11
2
39
32
31
55
15
9
33
32
32
33
31
30
41
69
41
28
34
10
17
13
48
14
30
31
35
37
34
8
41
35
36
27
32
22
34
30
16
31
15
32
28
6
36
31
32
43
71
29
32
32
66
32
31
30
31
22
32
31
31
63
31
29
36
8
17
18
47
36
25
30
56
34
32
28
32
32
35
39
32
64
51
31
31
32
23
32
35
35
33
33
38
32
30
24
32
15
32
31
33
30
67
33
54
40
35
39
31
30
40
23
32
35
26
46
32
34
30
27
44
32
30
29
54
31
44
30
31
61
31
31
34
30
30
33
68
26
32
32
20
15
33
52
32
19
45
45
23
31
39
18
29
32
31
24
61
26
60
54
31
31
48
25
8
26
13
27
20
22
37
32
30
33
26
8
11
20
31
31
11
25
8
36
33
36
32
31
28
38
45
38
58
31
33
31
30
33
28
23
39
31
63
30
32
44
15
33
33
31
29
20
31
32
1
64
30
30
29
62
60
35
27
41
33
32
25
33
29
33
31
30
32
31
5
50
13
50
13
68
38
34
31
34
42
31
61
28
28
13
13
34
30
39
36
36
33
31
12
31
53
18
46
31
31
62
32
20
37
5
38
30
35
31
26
33
59
30
30
29
2
37
38
33
30
13
30
30
30
8
28
63
34
30
34
33
15
36
36
43
31
31
30
31
28
31
49
32
28
25
30
59
44
22
36
33
30
32
47
59
50
31
41
20
50
36
38
23
22
32
31
30
30
55
51
32
32
30
30
32
32
30
25
36
33
17
56
32
56
42
28
31
32
36
69
58
34
31
24
25
48
31
27
36
29
37
24
37
24
14
35
28
15
35
31
73
34
35
52
33
33
70
31
32
2
37
25
64
30
30
51
51
66
31
35
33
33
31
33
31
26
33
33
39
36
36
30
30
20
36
37
30
33
24
30
31
36
22
31
32
15
29
45
24
40
67
33
37
24
27
61
17
24
30
30
34
33
31
30
26
28
30
30
55
33
30
47
40
41
36
32
30
51
37
40
32
30
36
30
31
34
32
30
31
32
4
26
36
31
37
27
31
64
32
53
32
31
30
32
30
27
30
30
13
17
3
28
23
41
30
51
42
34
5
60
20
56
7
34
22
18
29
30
67
24
61
26
59
33
61
36
30
31
31
30
28
31
37
32
38
26
57
32
28
60
30
31
14
1
36
36
47
25
28
61
27
29
32
33
51
38
59
60
33
59
34
48
61
23
51
28
32
30
33
34
36
30
32
49
35
25
56
31
30
35
11
30
30
34
19
31
30
61
13
73
65
29
31
39
60
57
59
48
23
30
9
33
22
4
25
31
4
26
31
31
30
31
35
34
30
18
43
42
21
47
53
33
63
34
40
31
19
37
24
33
28
65
32
30
55
43
32
58
31
29
30
30
45
15
30
30
40
8
30
31
30
61
30
55
56
56
31
58
65
60
31
35
31
28
48
13
37
20
30
34
27
34
36
30
65
31
24
49
31
2
5
28
30
34
32
30
31
50
18
31
32
29
30
17
54
31
45
35
60
38
34
66
45
30
63
32
20
35
31
31
20
56
49
59
33
54
46
31
35
30
32
37
31
26
33
27
34
30
31
36
27
30
32
32
47
29
31
32
31
32
31
26
30
30
31
55
35
28
49
23
32
26
30
32
55
34
30
33
35
32
29
33
31
27
35
30
32
16
26
29
25
22
32
32
29
48
31
30
32
24
33
17
29
20
33
25
28
30
31
57
12
31
31
27
30
32
32
24
14
30
32
34
63
33
60
29
29
30
28
32
51
29
32
26
30
45
34
57
27
33
26
31
43
34
32
30
19
32
32
19
32
32
31
28
31
33
31
31
31
31
28
25
31
30
33
35
28
31
31
30
30
30
27
44
31
34
61
30
27
30
30
28
5
1
28
20
5
5
21
1
1
1
1
1
2
1
1
9
2
2
2
1
1
1
2
1
1
3
1
9
2
2
2
1
1
1
2
3
21
5
35
1
39
63
34
26
28
26
31
23
27
31
35
40
15
31
34
29
35
30
28
29
27
25
20
31
31
36
61
28
50
32
28
32
36
25
33
68
31
34
31
31
32
32
31
66
37
38
65
24
26
38
21
35
29
29
30
1
32
31
63
34
31
32
33
24
43
28
30
32
32
51
30
25
30
34
29
30
31
30
31
24
41
34
35
35
33
33
30
36
61
9
28
29
40
31
32
31
23
60
31
30
35
61
23
58
32
32
28
34
27
28
25
32
46
28
47
30
32
32
16
35
28
30
31
30
31
33
76
36
29
32
10
31
30
31
36
24
32
25
29
28
27
36
56
27
29
5
29
52
61
21
33
27
24
18
18
37
28
56
23
32
35
36
33
28
39
26
30
8
23
28
59
29
29
29
23
53
28
36
27
30
27
28
36
29
26
33
14
16
33
30
28
32
28
28
33
30
1
30
27
29
34
32
31
29
29
27
32
31
29
29
37
31
32
31
32
58
40
28
28
32
21
36
11
48
30
32
26
31
27
28
59
32
26
58
31
24
11
25
27
33
27
33
35
28
33
24
32
22
32
24
27
32
60
15
34
34
37
34
30
31
31
34
34
31
31
29
26
19
32
32
49
62
29
32
29
63
31
31
62
32
25
62
35
28
30
31
66
26
32
29
28
28
33
31
18
63
34
39
33
29
35
32
33
30
30
40
36
32
63
33
41
33
23
30
35
40
30
30
25
34
27
25
30
32
30
63
22
33
32
32
35
29
65
65
31
28
32
30
27
32
27
28
31
60
32
34
30
32
36
26
29
17
15
